Day,Combined_Equity,Pairs_Equity,StockV_Equity,StockQ_Equity,HMM_Equity,Seasonality_Equity,Regime
0,99995.3837,9210.526315789473,12894.736842105263,12894.736842105263,30000.0,14995.3837,MID
1,99858.74279,9210.526315789473,12894.736842105263,12894.736842105263,29970.47909,14888.2637,HIGH
2,99505.82279,9210.526315789473,12894.736842105263,12894.736842105263,29867.15909000001,14638.663700000001,HIGH
3,98768.92279,9210.526315789473,12894.736842105263,12894.736842105263,29358.799090000004,14410.1237,HIGH
4,98719.49279,9210.526315789473,12894.736842105263,12894.736842105263,29239.689090000003,14479.8037,HIGH
5,98275.78279000001,9210.526315789473,12894.736842105263,12894.736842105263,28760.619090000004,14515.163700000001,HIGH
6,98486.63279,9210.526315789473,12894.736842105263,12894.736842105263,28915.569089999997,14571.063699999999,HIGH
7,98924.90279,9210.526315789473,12894.736842105263,12894.736842105263,29188.47909,14736.4237,HIGH
8,98514.82279,9210.526315789473,12894.736842105263,12894.736842105263,28530.879090000002,14983.9437,HIGH
9,98398.45279000001,9210.526315789473,12894.736842105263,12894.736842105263,28139.169090000003,15259.2837,HIGH
10,97588.85279,9210.526315789473,12894.736842105263,12894.736842105263,27430.18909,15158.663700000001,HIGH
11,97350.85279,9210.526315789473,12894.736842105263,12894.736842105263,27223.90909000001,15126.9437,HIGH
12,96237.29279,9210.526315789473,12894.736842105263,12894.736842105263,26149.08909,15088.2037,HIGH
13,97023.77279,9210.526315789473,12894.736842105263,12894.736842105263,26938.689090000003,15085.0837,HIGH
14,97258.68279,9210.526315789473,12894.736842105263,12894.736842105263,26786.979090000004,15471.7037,HIGH
15,97905.92279000001,9210.526315789473,12894.736842105263,12894.736842105263,27495.319090000005,15410.6037,HIGH
16,98078.98279,9210.526315789473,12894.736842105263,12894.736842105263,27943.19909,15135.7837,HIGH
17,96744.47279000001,9210.526315789473,12894.736842105263,12894.736842105263,26599.589090000005,15144.8837,HIGH
18,96564.45279000001,9210.526315789473,12894.736842105263,12894.736842105263,26448.429090000005,15116.0237,HIGH
19,96082.62279,9210.526315789473,12894.736842105263,12894.736842105263,25691.519089999998,15391.1037,HIGH
20,95522.24279,9210.526315789473,12894.736842105263,12894.736842105263,25376.839090000005,15145.403699999999,HIGH
21,96201.87279,9210.526315789473,12894.736842105263,12894.736842105263,26033.589089999998,15168.2837,HIGH
22,96096.92279,9210.526315789473,12894.736842105263,12894.736842105263,26186.819089999997,14910.1037,HIGH
23,96723.69279,9210.526315789473,12894.736842105263,12894.736842105263,26966.209089999997,14757.4837,HIGH
24,96305.54279,9210.526315789473,12894.736842105263,12894.736842105263,26822.61909,14482.9237,HIGH
25,96592.02279,9210.526315789473,12894.736842105263,12894.736842105263,27261.199090000002,14330.8237,HIGH
26,96446.87279,9210.526315789473,12894.736842105263,12894.736842105263,27092.129090000002,14354.743699999999,HIGH
27,96551.84279000001,9210.526315789473,12894.736842105263,12894.736842105263,27038.759090000007,14513.0837,HIGH
28,95750.25279,9210.526315789473,12894.736842105263,12894.736842105263,26179.189090000007,14571.063699999999,HIGH
29,96992.99279,9210.526315789473,12894.736842105263,12894.736842105263,27438.829090000003,14554.163700000001,HIGH
30,95916.56279,9210.526315789473,12894.736842105263,12894.736842105263,26449.239090000003,14467.3237,HIGH
31,96349.84279,9210.526315789473,12894.736842105263,12894.736842105263,26731.719089999995,14618.1237,HIGH
32,97134.45279,9210.526315789473,12894.736842105263,12894.736842105263,27728.22909,14406.223699999999,HIGH
33,97131.17279,9210.526315789473,12894.736842105263,12894.736842105263,27668.26909,14462.903699999999,HIGH
34,97528.62279000001,9210.526315789473,12894.736842105263,12894.736842105263,28488.479090000008,14040.1437,HIGH
35,96737.51279000001,9210.526315789473,12894.736842105263,12894.736842105263,27749.109090000005,13988.403699999999,HIGH
36,96744.29278999999,9210.526315789473,12894.736842105263,12894.736842105263,27907.729089999997,13836.563699999999,HIGH
37,96261.66279,9210.526315789473,12894.736842105263,12894.736842105263,27613.599090000003,13648.0637,HIGH
38,96320.95279000001,9210.526315789473,12894.736842105263,12894.736842105263,27437.06909,13883.8837,HIGH
39,95434.64279,9210.526315789473,12894.736842105263,12894.736842105263,26448.059090000002,13986.5837,HIGH
40,97841.78279000001,9210.526315789473,12894.736842105263,12894.736842105263,28753.27909000001,14088.5037,HIGH
41,97848.18278999999,9210.526315789473,12894.736842105263,12894.736842105263,28665.03909,14183.1437,HIGH
42,97784.76279000001,9210.526315789473,12894.736842105263,12894.736842105263,28490.339090000005,14294.4237,HIGH
43,97874.88279,9210.526315789473,12894.736842105263,12894.736842105263,28599.699090000002,14275.1837,HIGH
44,97903.62279,9210.526315789473,12894.736842105263,12894.736842105263,28741.019090000005,14162.6037,HIGH
45,97444.07279,9210.526315789473,12894.736842105263,12894.736842105263,28322.809090000006,14121.2637,HIGH
46,98600.60279,9210.526315789473,12894.736842105263,12894.736842105263,29584.379090000002,14016.223699999999,HIGH
47,99025.39279,9210.526315789473,12894.736842105263,12894.736842105263,29940.529089999996,14084.8637,HIGH
48,98735.63279,9210.526315789473,12894.736842105263,12894.736842105263,29573.809090000002,14161.8237,HIGH
49,98244.86279,9210.526315789473,12894.736842105263,12894.736842105263,29081.47909,14163.3837,HIGH
50,98473.67376,9210.526315789473,12884.497812105265,12894.736842105263,29179.08909,14304.8237,HIGH
51,98038.89375999999,9210.526315789473,12809.677812105263,12894.736842105263,28804.569089999997,14319.3837,HIGH
52,98124.39376,9210.526315789473,12999.337812105265,12894.736842105263,28701.709090000004,14318.0837,HIGH
53,97020.21376,9210.526315789473,12652.207812105264,12894.736842105263,28050.219090000002,14212.5237,HIGH
54,97541.43376,9210.526315789473,13061.977812105264,12894.736842105263,28269.56909,14104.6237,HIGH
55,97413.90376,9210.526315789473,12625.237812105262,12894.736842105263,28756.099090000003,13927.3037,HIGH
