day,date,position,shares_L,shares_O,z_score,price_L,price_O
0,Y0-M01-D02,0,0,0,-0.6166433692775068,198.15,29.25
1,Y0-M01-D05,0,0,0,-0.543592454588864,201.27,29.24
2,Y0-M01-D06,0,0,0,-0.671234668575123,196.48,29.35
3,Y0-M01-D07,0,0,0,-0.6246973710791679,194.08,28.73
4,Y0-M01-D08,0,0,0,-0.6055678662120717,187.98,27.76
5,Y0-M01-D09,0,0,0,-0.7266066058043753,183.55,27.88
6,Y0-M01-D12,0,0,0,-0.7910486509219318,177.66,27.45
7,Y0-M01-D13,0,0,0,-0.811626380215461,177.19,27.51
8,Y0-M01-D14,1,232,-1658,-1.0418725651293457,171.85,28.17
9,Y0-M01-D15,1,232,-1658,-1.0992946523144036,174.99,28.96
10,Y0-M01-D16,1,232,-1658,-1.0282196801139922,173.09,28.26
11,Y0-M01-D19,1,232,-1658,-1.0183666313127757,174.45,28.39
12,Y0-M01-D20,1,232,-1658,-0.9565742053429096,173.36,27.86
13,Y0-M01-D21,1,232,-1658,-0.6509824290606814,174.77,26.19
14,Y0-M01-D22,1,232,-1658,-0.7572639728404964,178.85,27.41
15,Y0-M01-D23,1,232,-1658,-0.7558573814322982,180.27,27.6
16,Y0-M01-D26,1,232,-1658,-0.6804843076448527,184.85,27.78
17,Y0-M01-D27,1,232,-1658,-0.4379929806144503,191.44,27.22
18,Y0-M01-D28,1,232,-1658,-0.6518265783326744,185.53,27.7
19,Y0-M01-D29,1,232,-1658,-0.43057596112804325,190.62,27.06
20,Y0-M01-D30,1,232,-1658,-0.3545685407180956,189.15,26.39
21,Y0-M02-D02,1,232,-1658,-0.3496586362536328,189.15,26.36
22,Y0-M02-D03,1,232,-1658,-0.30724254485603764,188.0,25.94
23,Y0-M02-D04,1,232,-1658,-0.37759529843492756,188.43,26.43
24,Y0-M02-D05,1,232,-1658,-0.4560601404141206,185.86,26.55
25,Y0-M02-D06,1,232,-1658,-0.3272960105596803,190.27,26.38
26,Y0-M02-D09,1,232,-1658,-0.4631439423984499,185.05,26.48
27,Y0-M02-D10,1,232,-1658,-0.549725478740498,185.2,27.03
28,Y0-M02-D11,1,232,-1658,-0.6154423072677241,184.76,27.37
29,Y0-M02-D12,1,232,-1658,-0.5222145120228517,188.69,27.35
30,Y0-M02-D13,1,232,-1658,-0.48812376614696407,193.54,27.82
31,Y0-M02-D16,1,232,-1658,-0.5002477963921711,198.23,28.55
32,Y0-M02-D17,1,232,-1658,-0.4893973980659962,197.56,28.39
33,Y0-M02-D18,1,232,-1658,-0.5768245678821506,196.1,28.72
34,Y0-M02-D19,1,232,-1658,-0.49095570552504464,199.78,28.71
35,Y0-M02-D20,1,232,-1658,-0.4786513253192488,198.53,28.46
36,Y0-M02-D23,1,232,-1658,-0.4212196934976108,197.75,28.0
37,Y0-M02-D24,1,232,-1658,-0.3424762661430674,195.47,27.2
38,Y0-M02-D25,1,232,-1658,-0.17283180860500638,201.38,26.99
39,Y0-M02-D26,1,232,-1658,-0.13576086177210261,200.64,26.66
40,Y0-M02-D27,1,232,-1658,-0.04745597010018653,206.5,26.94
41,Y0-M03-D02,1,232,-1658,-0.057899429524396334,213.48,27.98
42,Y0-M03-D03,1,232,-1658,-0.08971655826354152,213.52,28.18
43,Y0-M03-D04,0,0,0,0.030468154708713835,212.55,27.31
44,Y0-M03-D05,0,0,0,-0.05339876694317393,210.03,27.47
45,Y0-M03-D06,0,0,0,0.09734738063171712,219.19,27.83
46,Y0-M03-D09,0,0,0,0.08963268649679845,220.14,28.01
47,Y0-M03-D10,0,0,0,0.02992283157586784,221.75,28.6
