Date,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y
Y0-M01-D02,100.73,166.76,177.55,133.1,50.11,7.12,106.69,32.68,124.94,128.92,165.4,198.15,84.21,165.06,29.25,23.46,107.0,63.28,64.22,55.19,99.7,145.73,112.31,15.06,79.94
Y0-M01-D05,101.41,165.04,173.43,129.37,42.8,7.79,104.76,33.83,128.03,131.8,161.86,201.27,85.17,161.59,29.24,23.19,106.3,62.78,61.62,56.24,96.76,147.54,111.98,15.05,80.25
Y0-M01-D06,100.55,161.36,163.83,127.83,40.33,7.57,101.99,33.05,122.75,128.91,157.7,196.48,84.38,157.93,29.35,23.31,105.92,61.91,63.39,57.19,96.66,148.11,114.02,15.76,82.22
Y0-M01-D07,101.55,160.93,155.04,133.17,42.9,7.58,102.53,33.45,128.36,134.18,166.68,194.08,85.96,149.42,28.73,22.96,108.77,62.42,62.17,57.89,96.98,145.93,115.85,15.39,78.25
Y0-M01-D08,100.53,160.98,157.72,132.28,42.05,7.22,104.7,34.99,124.44,130.82,163.29,187.98,83.14,150.88,27.76,22.96,109.22,60.7,58.47,56.4,95.95,146.3,113.6,15.89,79.61
Y0-M01-D09,101.53,160.97,159.08,137.07,43.71,7.37,108.72,35.75,125.47,126.62,165.47,183.55,83.85,149.72,27.88,23.14,110.26,61.29,57.28,55.34,97.01,147.23,117.75,16.14,80.03
Y0-M01-D12,101.29,159.17,161.23,133.26,43.61,7.71,109.12,34.29,124.63,128.81,153.9,177.66,84.9,149.82,27.45,23.12,110.21,59.51,57.67,55.2,98.63,140.52,120.66,17.2,84.88
Y0-M01-D13,99.7,161.21,167.59,132.37,45.01,7.61,107.91,34.46,127.02,126.72,153.18,177.19,86.32,153.48,27.51,23.13,110.36,59.74,57.28,54.29,99.07,137.08,117.26,17.39,88.14
Y0-M01-D14,98.65,161.35,177.11,136.13,45.33,8.02,104.13,34.32,124.77,123.06,147.64,171.85,86.12,151.9,28.17,23.57,110.18,60.65,57.1,53.5,99.79,142.37,119.43,17.0,88.52
Y0-M01-D15,100.36,159.7,187.7,142.0,45.83,7.71,104.42,32.6,134.69,123.69,150.87,174.99,88.45,153.61,28.96,23.85,113.14,59.68,58.42,52.3,102.06,153.22,117.79,16.89,86.61
