entry_day,exit_day,type,entry_z,exit_z,shares_L,shares_O,pnl,holding_days
8,43,LONG,-1.0418725651293457,0.030468154708713835,232,1658,10868.280000000008,35
139,270,LONG,-1.0559718724398317,0.16946133537531902,200,1430,10707.3,131
305,359,LONG,-1.1406023130199971,0.06935263185178028,193,1379,10196.659999999996,54
510,611,LONG,-1.0063554731491486,0.02429285811494921,190,1358,8555.860000000002,101
689,770,SHORT,1.0314293187540222,-0.04002149889894374,151,1079,7066.069999999998,81
794,799,LONG,-1.0026653872561526,0.10693205411711498,171,1222,8287.030000000004,5
856,870,LONG,-1.0194223741487962,0.016471868130804927,151,1079,6831.290000000003,14
1011,1034,SHORT,1.3475343353207472,-0.024449606503362906,133,950,7971.070000000002,23
1137,1295,LONG,-1.1894629211053929,0.131993506343771,191,1365,11028.990000000002,158
1320,1580,LONG,-1.0558357651911734,0.06502065096855826,139,993,6800.3099999999995,260
1597,1660,LONG,-1.0906261859435074,0.06558654757667619,141,1008,7121.309999999991,63
1710,1774,LONG,-1.0420752534806903,0.08286370416339396,123,879,6042.8700000000035,64
1783,1816,SHORT,1.1230878037002054,-0.2736955859127735,112,800,6820.800000000002,33
1867,2151,SHORT,1.1276666402876556,-0.3931995599255304,100,715,6644.349999999997,284
2173,2352,SHORT,1.0245953408781476,-0.18167775789036678,101,722,5322.37,179
2462,2520,LONG,-1.0507896001218402,-0.7615756869608679,121,865,1528.9599999999978,58
